StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By answering yes to the below question and proceeding to the survey you confirm that you consent to take part in survey in accordance with the following conditions:

 

1. I have read the information above which details what this study is about.

2. My questions about the study have been answered to my satisfaction and I understand that I may ask further questions at any point.

3. I understand that I am free to withdraw from the study within the time limits outlined in the information above, without giving a reason for my withdrawal or to decline to answer any particular questions in the study without any consequences to my future treatment by the researcher.  

4. I agree to provide information to the researchers under the conditions of confidentiality set out in the information above

5. I wish to participate in the study under the conditions set out in the information above.

6. I consent to the information collected for the purposes of this research study, once anonymised (so that I cannot be identified), to be used for any other research purposes. 
 

Thank you very much in advance. 
 

I wish to participate in the survey:","Read the text below and rate it by how much you agree that: The text is fluent Mandarin Chinese.


 苹果掉落的地方不会离树干很远。","Read the text below and rate it by how much you agree that: The text is fluent Mandarin Chinese.


 

   会出现什么情况呢？","Read the text below and rate it by how much you agree that: The text is fluent Mandarin Chinese.


 

   天气预报说明天会下雪。","Read the text below and rate it by how much you agree that: The output sentence accurately translates the input sentence.




 

Input: I want to know why Tom wants us to do that.

 

Output: 我想知道汤姆为什么要帮我们那样做。","Read the text below and rate it by how much you agree that: The output sentence accurately translates the input sentence.




 

Input: Which book is yours?

 

Output:  哪本是你们的书？","Read the text below and rate it by how much you agree that: The output sentence accurately translates the input sentence.




 

Input: Come in, the door's open.

 

Output:  进来，门开着。","Read the text below and rate it by how much you agree that: The context of output sentence B is close to the expected sentence A.


  

 

A:  这才是重点。

 

B:  这是今天的情况 。","Read the text below and rate it by how much you agree that: The context of output sentence B is close to the expected sentence A.


  

 

A:  我试着不去想了。

 

B:  我不想那样想。","Read the text below and rate it by how much you agree that: The context of output sentence B is close to the expected sentence A.


  

 

A:  我早上会在家。

 

B:  我明天早上在家。","Read the text below and rate it by how much you agree that: The quality of the translation B closely matches A.


  

 

A:  我们给大家看一段视频。

 

B:  我们一起给你看一个视频。","Read the text below and rate it by how much you agree that: The output sentence accurately translates the input.




 

Input: This is the office in which he works.

 

Output:  那是他工作的办公室。","Read the text below and rate it by how much you agree that: The quality of the translation B closely matches A.


  

 

A:  他放学后打棒球。

 

B:  他放学后打棒球。","Read the text below and rate it by how much you agree that: The quality of the translation B closely matches A.


  

 

A:  我得顺便给你讲件事。

 

B:  某种程度上，我要告诉你。","Read the text below and rate it by how much you agree that: The output sentence accurately translates the input.




 

Input: He lived abroad for much of his life.

 

Output:  他居住在国外多年。","Read the text below and rate it by how much you agree that: The text is fluent Mandarin Chinese.


 

   他强调了城市生活方便的一面。"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID31""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}"
2021-08-26 13:11:40,2021-08-26 13:16:01,0,51.199.90.205,100,260,1,2021-08-26 13:16:01,R_1kN622KcaqMmNwi,,,,,53.3488006591796875,-1.4091033935546875,anonymous,EN,2,1,1,1,4,2,1,2,4,2,4,2,1,3,2,1
2021-08-26 13:19:48,2021-08-26 13:24:50,0,5.151.46.99,100,301,1,2021-08-26 13:24:50,R_aXjkUqm7dLT0Ydb,,,,,51.6016998291015625,-0.0731964111328125,anonymous,EN,2,2,1,1,4,2,1,3,2,1,2,1,1,4,1,1
2021-08-28 05:16:59,2021-08-28 05:19:10,0,82.132.242.250,100,130,1,2021-08-28 05:19:10,R_3KvYp13br7b1pxE,,,,,53.16510009765625,-1.48199462890625,anonymous,EN,2,1,1,1,1,1,4,1,1,1,1,1,1,1,4,
2021-08-28 05:33:21,2021-08-28 05:35:42,0,16.162.143.149,100,140,1,2021-08-28 05:35:42,R_dcGqC0W8bAm3t61,,,,,22.2577972412109375,114.16571044921875,anonymous,EN,2,2,2,3,2,2,2,2,3,1,3,2,2,3,2,3
2021-08-28 06:19:34,2021-08-28 06:37:18,0,113.17.224.178,100,1063,1,2021-08-28 06:37:19,R_2cnhbRB0yZLd1QP,,,,,22.282501220703125,113.5762939453125,anonymous,EN,2,1,3,1,3,1,1,5,4,4,4,1,1,3,1,1
2021-08-28 06:49:19,2021-08-28 06:50:35,0,119.103.209.76,100,75,1,2021-08-28 06:50:35,R_AEyUOqtduI3m1qx,,,,,30.5850982666015625,114.266204833984375,anonymous,EN,2,2,3,3,3,3,3,3,4,4,3,2,3,2,4,2
2021-08-28 06:56:34,2021-08-28 07:00:12,0,112.22.86.9,100,217,1,2021-08-28 07:00:12,R_1hy8Dgt1ClvnWcy,,,,,31.561798095703125,120.286407470703125,anonymous,EN,2,3,2,2,4,1,5,2,4,3,5,1,1,4,1,3
2021-08-28 07:00:50,2021-08-28 07:04:02,0,112.224.65.15,100,192,1,2021-08-28 07:04:02,R_1mgA9hoGwtrjbLF,,,,,36.0659942626953125,120.369384765625,anonymous,EN,2,2,4,2,2,4,4,4,4,4,4,2,1,5,4,4
